timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
17477346,0.23846947,-0.0007159943,-0.0052325637,0.9711357,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17529343,0.2402822,-0.00014836331,-0.005077057,0.97068983,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17581343,0.24334984,-0.00048486426,-0.0056227,0.96992224,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17633343,0.24672912,-0.0018657047,-0.0068339207,0.9690587,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17685390,0.2509062,-0.0023291516,-0.0074186437,0.96798027,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17737356,0.25220838,-0.0012564572,-0.007457643,0.9676434,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17789361,0.25086573,-0.0007165478,-0.009443043,0.9679756,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17842158,0.25217265,0.0006177734,-0.0056107193,0.96766585,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17894153,0.25673908,0.00040160038,-0.003554246,0.9664742,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17946148,0.25716045,-9.260793e-05,-0.0037244565,0.9663615,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17998174,0.26090226,0.00028312695,-0.0065148515,0.96534324,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18050153,0.26302585,4.352603e-05,-0.007904792,0.96475637,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18102146,0.26256183,-0.0003319226,-0.0089567,0.9648736,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18154157,0.26564908,-0.00019342153,-0.0061193076,0.96405035,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
18206148,0.26790363,0.00029558488,-0.0043299473,0.96343595,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
