timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
58090332,0.0,0.0,0.0,0.0
58294286,0.0,0.0,0.0,0.0
58495103,0.0,0.0,0.0,0.0
58695876,0.0,0.0,0.0,0.0
58899082,0.0,0.0,0.0,0.0
59103874,0.0,0.0,0.0,0.0
59304664,0.0,0.0,0.0,0.0
59507915,0.0,0.0,0.0,0.0
59707865,0.0,0.0,0.0,0.0
59907891,0.0,0.0,0.0,0.0
60109481,0.0,0.0,0.0,0.0
60313479,0.0,0.0,0.0,0.0
60516863,0.0,0.0,0.0,0.0
60718280,0.0,0.0,0.0,0.0
60922351,0.0,0.0,0.0,0.0
61122286,0.0,0.0,0.0,0.0
61324702,0.0,0.0,0.0,0.0
61527081,0.0,0.0,0.0,0.0
61731864,0.0,0.0,0.0,0.0
61933477,0.0,0.0,0.0,0.0
62136693,0.0,0.0,0.0,0.0
62340684,0.0,0.0,0.0,0.0
62541497,0.0,0.0,0.0,0.0
62745515,0.0,0.0,0.0,0.0
62949477,0.0,0.0,0.0,0.0
63150282,0.0,0.0,0.0,0.0
63354292,0.0,0.0,0.0,0.0
63557497,0.0,0.0,0.0,0.0
63759108,0.0,0.0,0.0,0.0
63959273,0.0,0.0,0.0,0.0
64163108,0.0,0.0,0.0,0.0
64367256,0.0,0.0,0.0,0.0
64567879,0.0,0.0,0.0,0.0
64768688,0.0,0.0,0.0,0.0
64971090,0.0,0.0,0.0,0.0
65171878,0.0,0.0,0.0,0.0
65373522,0.0,0.0,0.0,0.0
65576831,0.0,0.0,0.0,0.0
65778337,0.0,0.0,0.0,0.0
65978281,0.0,0.0,0.0,0.0
66182270,0.0,0.0,0.0,0.0
66386322,0.0,0.0,0.0,0.0
66586277,0.0,0.0,0.0,0.0
66787939,0.0,0.0,0.0,0.0
66991141,0.0,0.0,0.0,0.0
67195876,0.0,0.0,0.0,0.0
67395879,0.0,0.0,0.0,0.0
67599879,0.0,0.0,0.0,0.0
67803885,0.0,0.0,0.0,0.0
68005529,0.0,0.0,0.0,0.0
68208670,0.0,0.0,0.0,0.0
68412690,0.0,0.0,0.0,0.0
68614295,0.0,0.0,0.0,0.0
68817481,0.0,0.0,0.0,0.0
69021465,0.0,0.0,0.0,0.0
69222335,0.0,0.0,0.0,0.0
69423079,0.0,0.0,0.0,0.0
69623885,0.0,0.0,0.0,0.0
69826275,0.0,0.0,0.0,0.0
70027878,0.0,0.0,0.0,0.0
70232680,0.0,0.0,0.0,0.0
70435131,0.0,0.0,0.0,0.0
70636695,0.0,0.0,0.0,0.0
70840686,0.0,0.0,0.0,0.0
71040692,0.0,0.0,0.0,0.0
71241517,0.0,0.0,0.0,0.0
71442270,0.0,0.0,0.0,0.0
71645535,0.0,0.0,0.0,0.0
71849511,0.0,0.0,0.0,0.0
72050310,0.0,0.0,0.0,0.0
72251092,0.0,0.0,0.0,0.0
72454294,0.0,0.0,0.0,0.0
72654293,0.0,0.0,0.0,0.0
72855879,0.0,0.0,0.0,0.0
73059877,0.0,0.0,0.0,0.0
73259884,0.0,0.0,0.0,0.0
73461633,0.0,0.0,0.0,0.0
73661484,0.0,0.0,0.0,0.0
73864676,0.0,0.0,0.0,0.0
74064704,0.0,0.0,0.0,0.0
74266277,0.0,0.0,0.0,0.0
74470341,0.0,0.0,0.0,0.0
74670271,0.0,0.0,0.0,0.0
74870291,0.0,0.0,0.0,0.0
