timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
92130146,0.0,0.0,0.0,-0.03441093,-0.058635134,-0.2204895,0.0,0.0,0.0,-0.14696026,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2580298,0.25802973,4.0680447,0.0,0.0,0.0,0.090138845,0.0,0.0,0.0,0.0,0.22093804,0.0034791965,0.0075416085,0.0141260885,0.0,0.0,0.0,0.0,0.0,0.0
92330177,0.0,0.0,0.0,-0.032525226,-0.05991749,0.18632507,0.0,0.0,0.0,-0.1453929,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25815496,0.25815487,4.06857,0.0,0.0,0.0,0.09013871,0.0,0.0,0.0,0.0,0.22093804,0.003844598,0.008703483,0.017595774,0.0,0.0,0.0,0.0,0.0,0.0
92538262,0.0,0.0,0.0,-0.028558213,-0.04745516,0.016662598,0.0,0.0,0.0,-0.17428112,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25816008,0.25816014,4.0685797,0.0,0.0,0.0,0.09013861,0.0,0.0,0.0,0.0,0.22093804,0.0036699013,0.008952219,0.020692691,0.0,0.0,0.0,0.0,0.0,0.0
92738943,0.0,0.0,0.0,-0.038186792,-0.053865872,0.10096741,0.0,0.0,0.0,-0.15736055,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25816405,0.2581641,4.0686045,0.0,0.0,0.0,0.09013856,0.0,0.0,0.0,0.0,0.22093804,0.0035936437,0.008966932,0.02156953,0.0,0.0,0.0,0.0,0.0,0.0
92938943,0.0,0.0,0.0,-0.032668207,-0.055722047,-0.1489563,0.0,0.0,0.0,-0.16675699,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25826642,0.2582664,4.069071,0.0,0.0,0.0,0.090138495,0.0,0.0,0.0,0.0,0.22093804,0.003955331,0.007085852,0.016620714,0.0,0.0,0.0,0.0,0.0,0.0
93138945,0.0,0.0,0.0,-0.0333228,-0.051697876,0.02444458,0.0,0.0,0.0,-0.15479326,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25825503,0.2582551,4.0690503,0.0,0.0,0.0,0.09013839,0.0,0.0,0.0,0.0,0.22093804,0.0039269584,0.007046093,0.016515644,0.0,0.0,0.0,0.0,0.0,0.0
93339743,0.0,0.0,0.0,-0.032372184,-0.045343433,0.2966919,0.0,0.0,0.0,-0.17273533,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2582373,0.2582374,4.069009,0.0,0.0,0.0,0.09013834,0.0,0.0,0.0,0.0,0.22093804,0.0038354804,0.0049759294,0.009464149,0.0,0.0,0.0,0.0,0.0,0.0
93548591,0.0,0.0,0.0,-0.026781807,-0.032205697,0.11151123,0.0,0.0,0.0,-0.16868067,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25821513,0.2582153,4.0689445,0.0,0.0,0.0,0.09013828,0.0,0.0,0.0,0.0,0.22093804,0.004039115,0.008103005,0.02307914,0.0,0.0,0.0,0.0,0.0,0.0
93748543,0.0,0.0,0.0,-0.02627728,-0.026582438,0.18844604,0.0,0.0,0.0,-0.16338694,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25830463,0.25830483,4.0693607,0.0,0.0,0.0,0.09013813,0.0,0.0,0.0,0.0,0.22093804,0.0041231313,0.007171292,0.022091584,0.0,0.0,0.0,0.0,0.0,0.0
93956543,0.0,0.0,0.0,-0.025324604,-0.028164713,0.28063965,0.0,0.0,0.0,-0.18766189,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25818676,0.25818694,4.0688643,0.0,0.0,0.0,0.09013804,0.0,0.0,0.0,0.0,0.22093804,0.0041384613,0.0048467717,0.015224325,0.0,0.0,0.0,0.0,0.0,0.0
94156569,0.0,0.0,0.0,-0.025409184,-0.02291289,0.26849365,0.0,0.0,0.0,-0.1570872,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25819477,0.25819495,4.0688624,0.0,0.0,0.0,0.09013795,0.0,0.0,0.0,0.0,0.22093804,0.0040854774,0.0062013078,0.019000547,0.0,0.0,0.0,0.0,0.0,0.0
94357345,0.0,0.0,0.0,-0.02200225,-0.018266203,-0.31629944,0.0,0.0,0.0,-0.18140614,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25820196,0.25820217,4.0688605,0.0,0.0,0.0,0.09013795,0.0,0.0,0.0,0.0,0.22093804,0.004089239,0.002482296,0.0045392974,0.0,0.0,0.0,0.0,0.0,0.0
94565382,0.0,0.0,0.0,-0.017757863,-0.014670674,-0.2729187,0.0,0.0,0.0,-0.18672168,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25812355,0.25812373,4.0684743,0.0,0.0,0.0,0.09013783,0.0,0.0,0.0,0.0,0.22093804,0.004422636,0.003245298,0.0074906196,0.0,0.0,0.0,0.0,0.0,0.0
94765382,0.0,0.0,0.0,-0.021148212,-0.009424537,-0.37738037,0.0,0.0,0.0,-0.2005744,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25814265,0.25814286,4.068503,0.0,0.0,0.0,0.090137735,0.0,0.0,0.0,0.0,0.22093804,0.0046067853,0.004578952,0.0110905245,0.0,0.0,0.0,0.0,0.0,0.0
94966146,0.0,0.0,0.0,-0.010858828,-0.008702656,-0.19985962,0.0,0.0,0.0,-0.1703726,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25809953,0.2580997,4.068214,0.0,0.0,0.0,0.090137735,0.0,0.0,0.0,0.0,0.22093804,0.004578131,0.0048266295,0.00872327,0.0,0.0,0.0,0.0,0.0,0.0
95174143,0.0,0.0,0.0,-0.009734681,0.00145022,0.019058228,0.0,0.0,0.0,-0.17933095,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25805873,0.2580589,4.0679336,0.0,0.0,0.0,0.09013763,0.0,0.0,0.0,0.0,0.22093804,0.004833649,0.0052781166,0.010310254,0.0,0.0,0.0,0.0,0.0,0.0
95374951,0.0,0.0,0.0,-0.0075463466,0.0035156254,0.14932251,0.0,0.0,0.0,-0.19981039,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25809813,0.25809827,4.0680513,0.0,0.0,0.0,0.090137534,0.0,0.0,0.0,0.0,0.22093804,0.0047877533,0.0071153576,0.0133844325,0.0,0.0,0.0,0.0,0.0,0.0
95574983,0.0,0.0,0.0,0.00031013033,0.0057558855,0.10177612,0.0,0.0,0.0,-0.21994436,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25820747,0.25820765,4.068507,0.0,0.0,0.0,0.090137444,0.0,0.0,0.0,0.0,0.22093804,0.004639976,0.0079167625,0.017137581,0.0,0.0,0.0,0.0,0.0,0.0
95774943,0.0,0.0,0.0,-0.0037081635,0.017315399,0.32640076,0.0,0.0,0.0,-0.18032455,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25813437,0.25813448,4.0681553,0.0,0.0,0.0,0.09013742,0.0,0.0,0.0,0.0,0.22093804,0.0044354824,0.008976665,0.01816743,0.0,0.0,0.0,0.0,0.0,0.0
95983743,0.0,0.0,0.0,0.0031836005,0.019801522,-0.26391602,0.0,0.0,0.0,-0.18417335,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25808042,0.25808054,4.0678754,0.0,0.0,0.0,0.09013736,0.0,0.0,0.0,0.0,0.22093804,0.004301232,0.00916065,0.016225932,0.0,0.0,0.0,0.0,0.0,0.0
96183743,0.0,0.0,0.0,0.0009922006,0.025325613,0.15945435,0.0,0.0,0.0,-0.17245972,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2581193,0.25811934,4.0680127,0.0,0.0,0.0,0.09013729,0.0,0.0,0.0,0.0,0.22093804,0.0043735323,0.010060663,0.020578664,0.0,0.0,0.0,0.0,0.0,0.0
96383743,0.0,0.0,0.0,0.0031569628,0.03196577,0.1598053,0.0,0.0,0.0,-0.1773243,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25822052,0.25822055,4.06846,0.0,0.0,0.0,0.0901372,0.0,0.0,0.0,0.0,0.22093804,0.00467777,0.010542826,0.020652406,0.0,0.0,0.0,0.0,0.0,0.0
