timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
113801246,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114813758,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115822586,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116828242,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117828488,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118832079,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119832439,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120841037,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121843535,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122844348,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
