timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
69988490,68985725,800000.0,1.0,0.046874937,23.56413,0.0,255,0,6,4,4,5,0,0,1,1,45
69995646,69995359,800000.0,1.0,0.046874937,23.56413,0.0,255,0,6,4,4,5,0,0,1,1,45
70380092,0,1200.0,0.402909,0.033750515,0.30375463,0.0,0,0,0,0,1,0,0,1,0,1,34
70994401,70989798,800000.0,1.0,0.046945587,23.669565,0.0,255,0,6,4,4,5,0,0,1,1,45
71386565,0,1200.0,0.402909,0.03378687,0.33190632,0.0,0,0,0,0,1,0,0,1,0,1,34
71995483,70989798,800000.0,1.0,0.046740215,23.528229,0.0,255,0,6,4,4,5,0,0,1,1,45
71998701,71998037,800000.0,1.0,0.046740215,23.528229,0.0,255,0,6,4,4,5,0,0,1,1,45
72396290,0,1200.0,0.402909,0.033760402,0.52229327,0.0,0,0,0,0,1,0,0,1,0,1,34
73001282,72998844,800000.0,1.0,0.046961628,23.603714,0.0,255,0,6,4,4,5,0,0,1,1,45
73402619,0,1200.0,0.402909,0.03367687,0.33874968,0.0,0,0,0,0,1,0,0,1,0,1,34
73987296,73986654,800000.0,1.0,0.04688078,23.514202,0.0,255,0,6,4,4,5,0,0,1,1,45
74407358,0,1200.0,0.402909,0.033732902,0.65481514,0.0,0,0,0,0,1,0,0,1,0,1,34
74987391,73986654,800000.0,1.0,0.04693101,23.588324,0.0,255,0,6,4,4,5,0,0,1,1,45
74991707,74990918,800000.0,1.0,0.04693101,23.588324,0.0,255,0,6,4,4,5,0,0,1,1,45
75416284,0,1200.0,0.402909,0.033914097,0.31021422,0.0,0,0,0,0,1,0,0,1,0,1,34
75993773,74990918,800000.0,1.0,0.046986233,23.568094,0.0,255,0,6,4,4,5,0,0,1,1,45
76009159,76009014,800000.0,1.0,0.046986233,23.568094,0.0,255,0,6,4,4,5,0,0,1,1,45
