timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
12728838,191.66064,28.21,99044.0,1.1768066
12738887,191.82976,28.21,99042.0,1.1767828
12759296,192.08606,28.21,99038.99,1.1767471
12769412,191.9143,28.21,99041.0,1.1767709
12779462,191.82976,28.21,99042.0,1.1767828
12799605,191.23788,28.21,99049.0,1.1768659
12809656,191.9143,28.21,99041.0,1.1767709
12819706,192.00151,28.21,99040.0,1.176759
12840029,191.49153,28.199999,99046.0,1.1768303
12850077,191.7452,28.199999,99043.0,1.1767946
12860132,191.9143,28.199999,99041.0,1.1767709
12880489,191.66064,28.199999,99044.0,1.1768066
12890550,191.82976,28.199999,99042.0,1.1767828
12900820,191.9143,28.199999,99041.0,1.1767709
12920918,192.00151,28.199999,99040.0,1.176759
12931241,191.49153,28.199999,99046.0,1.1768303
12941323,191.82976,28.199999,99042.0,1.1767828
12961425,192.08606,28.21,99038.99,1.1767471
12971474,191.57611,28.21,99044.99,1.1768184
12981567,192.00151,28.21,99040.0,1.176759
13001661,191.49153,28.21,99046.0,1.1768303
13011710,192.00151,28.21,99040.0,1.176759
13021771,191.407,28.21,99047.0,1.1768422
13042142,191.23788,28.21,99049.0,1.1768659
13052191,191.57611,28.21,99044.99,1.1768184
13062243,191.57611,28.21,99044.99,1.1768184
13082457,192.33972,28.199999,99036.0,1.1767116
13092506,191.9143,28.199999,99041.0,1.1767709
13102558,191.82976,28.199999,99042.0,1.1767828
13122862,192.25517,28.199999,99037.0,1.1767234
13132922,192.08606,28.199999,99038.99,1.1767471
13143241,192.00151,28.199999,99040.0,1.176759
13163369,191.407,28.199999,99047.0,1.1768422
13173576,191.49153,28.199999,99046.0,1.1768303
13183626,192.17061,28.199999,99038.0,1.1767353
13203758,191.407,28.199999,99047.0,1.1768422
13213809,191.49153,28.199999,99046.0,1.1768303
13224153,191.407,28.199999,99047.0,1.1768422
13244280,191.82976,28.199999,99042.0,1.1767828
13254391,192.08606,28.199999,99038.99,1.1767471
13264449,191.49153,28.199999,99046.0,1.1768303
13284809,191.82976,28.199999,99042.0,1.1767828
13294857,192.08606,28.199999,99038.99,1.1767471
13304909,191.82976,28.199999,99042.0,1.1767828
13325318,191.82976,28.199999,99042.0,1.1767828
13335369,191.7452,28.199999,99043.0,1.1767946
13345732,191.9143,28.199999,99041.0,1.1767709
13366125,191.82976,28.199999,99042.0,1.1767828
13376180,191.82976,28.199999,99042.0,1.1767828
13386228,191.66064,28.199999,99044.0,1.1768066
13406418,191.57611,28.199999,99044.99,1.1768184
13416468,191.49153,28.199999,99046.0,1.1768303
13426517,191.57611,28.199999,99044.99,1.1768184
13446852,192.08606,28.199999,99038.99,1.1767471
13456975,191.82976,28.199999,99042.0,1.1767828
13467259,191.57611,28.199999,99044.99,1.1768184
13487368,191.7452,28.199999,99043.0,1.1767946
13497592,191.7452,28.199999,99043.0,1.1767946
13507647,191.82976,28.199999,99042.0,1.1767828
13527743,191.66064,28.189999,99044.0,1.1768066
13537853,191.82976,28.189999,99042.0,1.1767828
13548040,192.00151,28.189999,99040.0,1.176759
13568147,191.9143,28.199999,99041.0,1.1767709
13578226,192.17061,28.199999,99038.0,1.1767353
13588322,192.42429,28.199999,99035.0,1.1766996
13608478,191.57611,28.199999,99044.99,1.1768184
13618524,191.82976,28.199999,99042.0,1.1767828
13628850,192.00151,28.199999,99040.0,1.176759
13648996,191.82976,28.189999,99042.0,1.1767828
13659062,191.57611,28.189999,99044.99,1.1768184
13669146,191.9143,28.189999,99041.0,1.1767709
13689300,191.82976,28.199999,99042.0,1.1767828
13699348,191.7452,28.199999,99043.0,1.1767946
13709653,191.7452,28.199999,99043.0,1.1767946
13729771,191.7452,28.189999,99043.0,1.1767946
13740042,191.82976,28.189999,99042.0,1.1767828
13750096,191.66064,28.189999,99044.0,1.1768066
13770429,191.49153,28.189999,99046.0,1.1768303
13780478,191.7452,28.189999,99043.0,1.1767946
13790530,191.66064,28.189999,99044.0,1.1768066
13810954,191.57611,28.189999,99044.99,1.1768184
13821072,191.66064,28.189999,99044.0,1.1768066
13831344,191.7452,28.189999,99043.0,1.1767946
13851706,192.00151,28.189999,99040.0,1.176759
13861752,191.7452,28.189999,99043.0,1.1767946
13872017,191.9143,28.189999,99041.0,1.1767709
13892121,191.66064,28.199999,99044.0,1.1768066
13902423,191.82976,28.199999,99042.0,1.1767828
13912477,191.57611,28.199999,99044.99,1.1768184
13932800,191.66064,28.189999,99044.0,1.1768066
13942879,192.25517,28.189999,99037.0,1.1767234
13952930,192.17061,28.189999,99038.0,1.1767353
13973071,191.57611,28.189999,99044.99,1.1768184
13983208,192.08606,28.189999,99038.99,1.1767471
13993260,191.57611,28.189999,99044.99,1.1768184
14013680,192.25517,28.189999,99037.0,1.1767234
14023742,191.57611,28.189999,99044.99,1.1768184
14033808,191.82976,28.189999,99042.0,1.1767828
14054069,191.57611,28.189999,99044.99,1.1768184
14064126,191.66064,28.189999,99044.0,1.1768066
14074437,191.66064,28.189999,99044.0,1.1768066
14094541,191.7452,28.189999,99043.0,1.1767946
14104868,191.57611,28.189999,99044.99,1.1768184
14114922,191.82976,28.189999,99042.0,1.1767828
14135262,191.49153,28.189999,99046.0,1.1768303
14145335,192.08606,28.189999,99038.99,1.1767471
14155393,191.9143,28.189999,99041.0,1.1767709
14175991,191.15334,28.189999,99050.0,1.1768779
14186039,191.82976,28.189999,99042.0,1.1767828
14196090,191.82976,28.189999,99042.0,1.1767828
14216189,191.49153,28.189999,99046.0,1.1768303
14226463,192.00151,28.189999,99040.0,1.176759
14236520,191.7452,28.189999,99043.0,1.1767946
14256916,192.08606,28.189999,99038.99,1.1767471
14267242,191.7452,28.189999,99043.0,1.1767946
14277328,191.57611,28.189999,99044.99,1.1768184
14297676,191.49153,28.18,99046.0,1.1768303
14307730,191.82976,28.18,99042.0,1.1767828
14317783,192.00151,28.18,99040.0,1.176759
14337886,191.82976,28.189999,99042.0,1.1767828
14347960,191.82976,28.189999,99042.0,1.1767828
14358010,191.9143,28.189999,99041.0,1.1767709
