timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
137627743,32767,32767,32767,32767,32767,-61,32767
137631778,32767,32767,32767,32767,-46,32767,32767
137635743,32767,32767,32767,32767,32767,32767,32767
137639753,32767,32767,32767,32767,32767,32767,32767
137643798,32767,32767,32767,32767,-65,32767,32767
137647743,32767,32767,32767,32767,32767,-46,32767
137651755,32767,32767,32767,32767,-44,32767,32767
137655748,32767,32767,32767,32767,32767,32767,32767
137659743,32767,32767,32767,32767,32767,32767,32767
137663778,32767,32767,32767,32767,32767,32767,32767
137667764,32767,32767,32767,32767,32767,32767,32767
137671743,32767,32767,32767,32767,-40,-69,32767
137675743,32767,32767,32767,32767,32767,32767,32767
137679746,32767,32767,32767,32767,32767,32767,32767
137683743,32767,32767,32767,32767,-60,32767,32767
137687768,32767,32767,32767,32767,32767,32767,32767
137691745,32767,32767,32767,32767,-36,-52,32767
137695743,32767,32767,32767,32767,32767,32767,32767
137699743,32767,32767,32767,32767,32767,32767,32767
137703746,32767,32767,32767,32767,32767,32767,32767
137707743,32767,32767,32767,32767,32767,32767,32767
137711743,32767,32767,32767,32767,32767,32767,32767
137715824,32767,32767,32767,32767,-73,-77,32767
137719743,32767,32767,32767,32767,32767,32767,32767
137723743,32767,32767,32767,32767,-52,32767,32767
137727749,32767,32767,32767,32767,32767,32767,32767
137731743,32767,32767,32767,32767,32767,32767,32767
137735755,32767,32767,32767,32767,-69,-56,32767
137739743,32767,32767,32767,32767,32767,32767,32767
137743753,32767,32767,32767,32767,32767,32767,32767
137747743,32767,32767,32767,32767,32767,32767,32767
137751755,32767,32767,32767,32767,32767,32767,32767
137755743,32767,32767,32767,32767,-68,32767,32767
137759746,32767,32767,32767,32767,32767,-82,32767
137763743,32767,32767,32767,32767,-47,32767,32767
137767792,32767,32767,32767,32767,32767,32767,32767
137771750,32767,32767,32767,32767,32767,32767,32767
137775751,32767,32767,32767,32767,-66,32767,32767
137779743,32767,32767,32767,32767,32767,-65,32767
137783743,32767,32767,32767,32767,32767,32767,32767
137787743,32767,32767,32767,32767,32767,32767,32767
137791743,32767,32767,32767,32767,32767,32767,32767
137795747,32767,32767,32767,32767,-65,32767,32767
137799797,32767,32767,32767,32767,32767,-50,32767
137803755,32767,32767,32767,32767,-44,32767,32767
137807743,32767,32767,32767,32767,32767,32767,32767
137811743,32767,32767,32767,32767,32767,32767,32767
137815743,32767,32767,-52,32767,-61,32767,32767
137819798,32767,32767,32767,32767,32767,32767,32767
137823743,32767,32767,32767,32767,32767,-68,32767
137827743,32767,32767,32767,32767,32767,32767,32767
137831745,32767,32767,32767,32767,32767,32767,32767
137835745,32767,32767,32767,32767,-60,32767,32767
137839761,32767,32767,32767,32767,32767,32767,32767
137843743,32767,32767,32767,32767,-37,-53,32767
137847753,32767,32767,32767,32767,32767,32767,32767
137851743,32767,32767,32767,32767,32767,32767,32767
137855757,32767,32767,32767,32767,-56,32767,32767
137859743,32767,32767,32767,32767,32767,32767,32767
137863743,32767,32767,32767,32767,32767,32767,32767
137867743,32767,32767,32767,32767,32767,-76,32767
137871796,32767,32767,32767,32767,32767,32767,32767
137875743,32767,32767,32767,32767,-53,32767,32767
137879772,32767,32767,32767,32767,32767,32767,32767
137883788,32767,32767,32767,32767,32767,32767,32767
