timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
99567374,0.19400296,0.023991141,0.086896785
99767363,0.21031669,0.028443458,0.079042114
99970034,0.18548232,0.020655692,0.08014381
100175414,0.20986353,0.024155661,0.07656857
100376463,0.18404455,0.02391015,0.07592471
100579433,0.18102713,0.020578869,0.0764293
100784443,0.18623623,0.022882571,0.09048111
100985172,0.2034288,0.022475112,0.077892676
101184840,0.17986833,0.020537406,0.08400834
101387624,0.25851607,0.021042868,0.07994317
101594868,0.22980487,0.018569596,0.08538379
101794624,0.20530719,0.022744391,0.0809755
101997778,0.20406097,0.018438468,0.08552556
102202521,0.22635254,0.0223221,0.08261301
102402087,0.21713942,0.02073473,0.07849619
102606553,0.21761847,0.044522896,0.08161513
102810917,0.20045848,0.025801249,0.0850786
103011677,0.20447673,0.018733053,0.08191656
103214822,0.27101395,0.010465281,0.08045173
103416181,0.19465302,0.01975518,0.07575001
103615644,0.222645,0.021441586,0.08158869
103822116,0.2184297,0.015942944,0.07405353
104024187,0.2724322,0.01919097,0.07673608
104225294,0.26596996,0.022638883,0.07141437
104425074,0.21259798,0.021724483,0.07749536
104630062,0.18222857,0.023903895,0.06622368
104833188,0.32692286,0.06519714,0.084200524
105033268,0.14328006,0.027199347,0.07901258
105233200,0.31334826,0.00902397,0.072980665
105439714,0.27507752,0.012329681,0.07896323
105640395,0.19753364,0.017969789,0.08154938
105840638,0.21527913,0.01713436,0.08210075
106043335,0.2124055,0.018086944,0.08100602
106249057,0.23473278,0.021433188,0.07837965
106449214,0.2771348,0.021681072,0.07642998
106651717,0.2198648,0.024042288,0.07992233
106857865,0.20107043,0.02454835,0.08037493
107058567,0.1843901,0.021929026,0.07991688
107260436,0.18254642,0.018417194,0.078188695
107466809,0.18548742,0.02556607,0.07528988
107666038,0.17803714,0.019721515,0.08100433
107870019,0.17277886,0.021387706,0.075222544
108075490,0.16696768,0.017521076,0.0751962
108275401,0.14902215,0.02026231,0.06904967
108478041,0.2693028,0.019596519,0.07239581
108684204,0.20671982,0.015244723,0.07515612
108883662,0.23893045,0.019144937,0.07761981
109087666,0.19873184,0.01927171,0.073921755
109293163,0.26294196,0.019811742,0.07906282
109495598,0.22928926,0.017952047,0.07778966
109696445,0.16906826,0.01864016,0.07334445
109901145,0.19654615,0.017225116,0.082432546
110101257,0.1734731,0.012364573,0.07939503
110302860,0.19894336,0.020193214,0.07884256
110503634,0.24274513,0.0115845995,0.07877856
110705283,0.22629543,0.021991242,0.07704523
110906577,0.20241174,0.021205992,0.07348283
111105989,0.19547734,0.021700848,0.07440423
111312053,0.20134684,0.01981423,0.07270439
111512379,0.22093014,0.01986407,0.07083106
111712985,0.1929186,0.015009354,0.076221876
111915715,0.22995892,0.030382948,0.07043371
112121045,0.18845767,0.021400396,0.07355764
112321118,0.21370533,0.016680365,0.069795415
112521669,0.22989906,0.02027035,0.065162
112724495,0.13842,0.015777854,0.0701364
112929758,0.19379169,0.026580729,0.06419563
113130872,0.17456277,0.02090823,0.06600173
113333319,0.19968545,0.01900101,0.07981312
113538868,0.1859815,0.019652633,0.07797735
113738795,0.13990903,0.01764656,0.07392593
113942614,0.17356077,0.01732472,0.06924865
114147640,0.23159534,0.012881373,0.078752644
114347640,0.17011254,0.015737308,0.07259856
114551348,0.19384797,0.019498918,0.070131734
114756877,0.17391329,0.018334016,0.06756368
114956442,0.24023756,0.018575503,0.067775086
115160157,0.24375024,0.018792497,0.067836925
115365876,0.19936584,0.02327462,0.06799276
115565854,0.21577004,0.020535998,0.06722728
115768538,0.1812256,0.016753,0.06721707
115970538,0.21737549,0.019327797,0.069781244
116170564,0.1919474,0.019628309,0.0689893
116370642,0.21221828,0.01844489,0.06798734
116575696,0.21836413,0.0208524,0.067149274
116779349,0.17581987,0.018876461,0.06352158
116978893,0.19819541,0.019409267,0.05732587
117185237,0.19668582,0.018763866,0.06820359
117386924,0.1937034,0.015268024,0.06336042
117587627,0.19435953,0.016015917,0.059172157
117792857,0.20224215,0.018457886,0.06629841
117996519,0.19704917,0.017544322,0.07586436
118196485,0.2061838,0.016587535,0.06798801
118401226,0.20820503,0.016000934,0.06351831
118602093,0.21599163,0.017271226,0.07344806
118803515,0.20977175,0.016587658,0.062336784
119005291,0.21285464,0.015758641,0.06770769
119206878,0.20074143,0.01783031,0.06977682
119412818,0.1982126,0.018142568,0.06723843
119613060,0.20287387,0.018069098,0.06524361
119816256,0.19571888,0.01603844,0.057773843
120020479,0.20081931,0.017927565,0.06339607
120220408,0.19975755,0.017339395,0.065100595
120424399,0.19977307,0.018869331,0.06679044
120628487,0.20163734,0.015672702,0.06628365
120829221,0.20475093,0.01588352,0.067009866
121029221,0.20159608,0.016042635,0.071910895
121233005,0.19964209,0.014568171,0.07334281
121438022,0.19444212,0.01613378,0.07340742
121639551,0.19995369,0.015358044,0.07067487
121842485,0.2029397,0.01596114,0.06844003
122047286,0.18817206,0.01603653,0.06838427
122248423,0.19520755,0.016127396,0.066975825
122448989,0.19190522,0.0160965,0.07053201
122650907,0.18786453,0.015608332,0.06680645
122856331,0.19584306,0.016754916,0.072114006
123056366,0.19437031,0.01934362,0.06983775
123257313,0.19496857,0.015786737,0.061091874
123459677,0.20009303,0.020293333,0.06761975
123660364,0.19432609,0.017671771,0.06672318
123866704,0.19224045,0.015062644,0.06622341
124066908,0.18743777,0.015981656,0.061867133
124267679,0.19365668,0.018271107,0.05871386
124465993,0.19720094,0.019551042,0.06085069
124670032,0.1946913,0.01563342,0.061172795
124876280,0.1991589,0.016532186,0.069516435
125076163,0.20204595,0.016438369,0.057731476
125279395,0.19632356,0.017940167,0.068309434
125483682,0.19572024,0.014456473,0.073466055
125685351,0.20464927,0.016667388,0.069100805
125887293,0.21515712,0.016863104,0.06891111
126088930,0.21273123,0.015954433,0.074644074
126289196,0.2075244,0.015211422,0.0763443
126494650,0.20379548,0.017375002,0.070329584
126695515,0.2058664,0.01560548,0.06854903
126895647,0.20436175,0.01653081,0.068024375
127096372,0.2041237,0.016894748,0.073251925
127298790,0.20761138,0.017109899,0.073505804
127503653,0.20134999,0.017175633,0.06920016
127704616,0.20656595,0.017271867,0.06341719
127907614,0.2023892,0.016856397,0.06714372
128112517,0.20330775,0.016433708,0.067780755
128313697,0.20840682,0.016479554,0.06895635
128513455,0.21289513,0.015360377,0.067152835
128716402,0.21081468,0.016544841,0.06635521
128922747,0.19899525,0.0164824,0.06568692
129123452,0.19858323,0.019114943,0.062179543
129325992,0.20082715,0.01630622,0.066483706
129527269,0.19517669,0.015645877,0.06656691
129732421,0.19488756,0.016364522,0.07111073
129935708,0.19702725,0.01777833,0.07298697
130135604,0.1980947,0.014421245,0.062112123
130340374,0.1998205,0.016190333,0.07003888
130541249,0.19452517,0.018628819,0.07221182
130743654,0.2024586,0.020504005,0.0639192
130944402,0.205983,0.017799739,0.06533895
131143712,0.19721691,0.018748088,0.067697726
131349914,0.2001302,0.015323845,0.06489862
131552328,0.19607764,0.017508557,0.07081734
131756472,0.19922519,0.016449964,0.059800018
131957832,0.19329405,0.01864428,0.06405978
132160918,0.19436318,0.015272824,0.067161776
132361770,0.1969464,0.017297193,0.05934212
132562119,0.20433278,0.017081223,0.06627815
132768069,0.2053441,0.018195577,0.065201856
