timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
14798271,0,0.0,0.0,0.0,0.0,0.4233831,3.323168e-05,8.524516e-06,0.0,-0.018185116,-0.029939815,-0.089411356,-0.014427818,0.008307921,0.0021311291,0.0,0.13608436,0.048786372,-1.0754069,2.7432384,0.0,0.25560972,0.089411356,0.15146415,0.30568776,0.15162331,0.15470956,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14902198,0,0.0,0.0,0.0,0.0,0.4276778,3.323168e-05,8.524516e-06,0.0,-0.031854432,-0.043223668,-0.07316644,0.0055139423,0.008307921,0.0021311291,0.0,0.8682501,-0.35973847,-0.650813,2.7487311,0.0,0.251315,0.07316644,0.15061684,0.30500424,0.14984268,0.15285654,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15006189,0,0.0,0.0,0.0,0.0,0.4345253,3.323168e-05,8.524516e-06,0.0,0.039894633,0.0026855317,-0.08311009,0.00090158137,0.008307921,0.0021311291,0.0,1.0874757,1.6753043,-1.2282755,2.7433622,0.0,0.2444675,0.08311009,0.14981817,0.30428788,0.14863336,0.15102145,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15110180,0,0.0,0.0,0.0,0.0,0.4459073,3.323168e-05,8.524516e-06,0.0,0.028172305,0.03685942,-0.03717298,0.055035368,0.008307921,0.0021311291,0.0,-0.9133043,0.5471148,1.2849811,2.7325416,0.0,0.23308551,0.03717298,0.14908761,0.30349052,0.14827177,0.14924902,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15214177,0,0.0,0.0,0.0,0.0,0.4530156,3.323168e-05,8.524516e-06,0.0,-0.025077337,-0.08045138,-0.078393005,0.016620675,0.008307921,0.0021311291,0.0,0.5225378,-0.06711165,0.6470728,2.7394152,0.0,0.22597721,0.078393005,0.14842111,0.30265114,0.1484466,0.14752676,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15310151,0,0.0,0.0,0.0,0.0,0.45567364,3.323168e-05,8.524516e-06,0.0,0.038685143,-0.04833633,-0.058154464,0.035542317,0.008307921,0.0021311291,0.0,0.4256751,1.9514824,-0.17260468,2.7318714,0.0,0.22331917,0.058154464,0.147007,0.30085292,0.14855316,0.14556429,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15414145,0,0.0,0.0,0.0,0.0,0.45741513,3.323168e-05,8.524516e-06,0.0,0.03778531,0.0064914105,-0.057193547,0.033476237,0.008307921,0.0021311291,0.0,0.5140528,-0.60366875,-0.072148524,2.7284021,0.0,0.22157767,0.057193547,0.14672832,0.3000557,0.15005945,0.14387436,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15518145,0,0.0,0.0,0.0,0.0,0.46139055,3.323168e-05,8.524516e-06,0.0,0.053292684,-0.038646232,-0.056553643,0.03371452,0.008307921,0.0021311291,0.0,-0.42819053,-0.081893325,0.61005384,2.7181182,0.0,0.21760225,0.056553643,0.14361688,0.29598927,0.14996354,0.14118095,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15614143,0,0.0,0.0,0.0,0.0,0.46754837,3.323168e-05,8.524516e-06,0.0,0.04877813,-0.02636685,-0.038117763,0.054033346,0.008307921,0.0021311291,0.0,0.0043203384,-0.0843882,0.82025945,2.7047725,0.0,0.21144444,0.038117763,0.14287874,0.29434678,0.15171608,0.13943656,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15718143,0,0.0,0.0,0.0,0.0,0.47144434,3.323168e-05,8.524516e-06,0.0,0.097711526,-0.0750746,-0.08324293,0.008708609,0.008307921,0.0021311291,0.0,-0.4421192,-0.27913165,-0.1761763,2.6903167,0.0,0.20754847,0.08324293,0.14321779,0.2936365,0.15471672,0.13792783,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15822943,0,0.0,0.0,0.0,0.0,0.47061738,3.323168e-05,8.524516e-06,0.0,-0.09721778,0.1099343,-0.006765039,0.081580594,0.008307921,0.0021311291,0.0,-0.23118551,2.7457335,0.50852215,2.679727,0.0,0.20837542,0.006765039,0.14374405,0.29292765,0.15814948,0.1364728,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15918960,0,0.0,0.0,0.0,0.0,0.47596696,3.323168e-05,8.524516e-06,0.0,-0.12724839,0.25163448,-0.05390207,0.033292294,0.008307921,0.0021311291,0.0,2.3166614,2.461909,0.92540807,2.650342,0.0,0.20302585,0.05390207,0.14357865,0.29140487,0.16114096,0.13483723,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16022943,0,0.0,0.0,0.0,0.0,0.4790563,3.323168e-05,8.524516e-06,0.0,0.009995178,-0.024426876,-0.07795796,0.0066983984,0.008307921,0.0021311291,0.0,-0.8388893,-1.0742806,-0.8006478,2.6498926,0.0,0.19993651,0.07795796,0.14439723,0.29068354,0.16371395,0.1335751,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16126943,0,0.0,0.0,0.0,0.0,0.47485343,3.323168e-05,8.524516e-06,0.0,-0.06620289,-0.03572057,-0.057826046,0.019829134,0.008307921,0.0021311291,0.0,-1.9049324,0.04036433,-0.8689816,2.6434047,0.0,0.20413938,0.057826046,0.145435,0.2899925,0.16738532,0.13227083,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16222989,0,0.0,0.0,0.0,0.0,0.46855924,3.323168e-05,8.524516e-06,0.0,-0.078307964,0.09637507,-0.0053645642,0.063290976,0.008307921,0.0021311291,0.0,0.93003684,2.2390676,1.1135658,2.6368778,0.0,0.21043357,0.0053645642,0.14556201,0.28842568,0.17054993,0.13060297,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16327746,0,0.0,0.0,0.0,0.0,0.4649788,3.323168e-05,8.524516e-06,0.0,-0.020471143,0.10016977,-0.03055287,0.032329656,0.008307921,0.0021311291,0.0,2.3249133,-1.0649695,0.90335405,2.6298213,0.0,0.214014,0.03055287,0.14682068,0.28773284,0.17400634,0.12936774,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
16431765,0,0.0,0.0,0.0,0.0,0.46254805,3.323168e-05,8.524516e-06,0.0,-0.030392967,0.007996111,-0.05044429,0.009138805,0.008307921,0.0021311291,0.0,0.4627876,-0.36151633,0.4605937,2.628272,0.0,0.21644476,0.05044429,0.14828093,0.2871335,0.17736955,0.12827437,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
