timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
11706263,11706160,0.06041489,-0.048792116,0.11929119
11730299,11730194,0.03768181,-0.007109479,0.060205143
11750238,11750143,0.09680293,0.020871352,-0.031746585
11771043,11770946,0.067183696,0.07751597,-0.16143145
11795049,11794946,0.043674823,0.07256925,-0.13466728
11819041,11818944,0.025465343,-0.022467688,-0.07660821
11843050,11842946,-0.12070388,0.057872828,-0.09828921
11867172,11866996,-0.11549747,-0.013738482,-0.10398732
11891041,11890944,-0.22564745,-0.030415349,-0.10306993
11911051,11910943,-0.22360605,-0.06646395,-0.1123878
11932652,11932546,-0.054335747,-0.035116896,-0.10150916
11955049,11954944,-0.044184633,0.02157954,-0.009182417
11979052,11978944,-0.12403989,0.011002677,0.09745015
12003043,12002944,0.1486895,-0.006059854,0.0053870194
12023048,12022945,0.24459825,0.020880237,-0.062975414
12043853,12043746,0.06354467,0.031616356,-0.0713565
12067041,12066944,0.1088119,0.102518275,-0.09548561
12091849,12091744,0.19379242,0.003407015,-0.014600381
12115849,12115744,-0.01867417,-0.009687476,0.053844042
12139842,12139746,-0.035285715,-0.015832571,0.065385245
12163053,12162945,0.0079649035,-0.055484734,0.055897944
12183858,12183752,0.012694949,-0.059252433,0.031639278
12206268,12206163,0.09857271,0.01863432,-0.06852936
12227044,12226944,0.0051556695,0.043935675,-0.14982131
12247077,12246970,-0.11428599,-0.019116154,-0.13430692
12267853,12267758,-0.09053024,-0.02664113,-0.059592474
12290262,12290161,-0.046592865,-0.02164522,-0.039021254
12315047,12314946,-0.071263485,0.07496239,0.0057218475
12339049,12338944,0.024751063,0.0031280858,-0.03808587
12363853,12363746,0.07334223,0.0016803693,-0.064200014
12387893,12387789,-0.008529415,-0.011848343,-0.046378836
12407851,12407756,-0.019811094,0.01961732,-0.07775521
12429453,12429346,0.041154113,-0.012965052,-0.017741613
12451231,12450945,-0.013611108,-0.057844076,0.018097032
12471052,12470945,-0.005981393,-0.006026641,0.03881626
12491864,12491765,0.04677833,0.016553855,0.06309082
12513456,12513346,0.07552053,0.022897646,0.09246132
12535046,12534945,0.076960005,0.03133649,-0.0020790268
12555901,12555791,0.14133252,0.03482518,-0.034344554
12575864,12575762,0.13031091,0.04894998,-0.17992046
12596648,12596545,0.026332352,0.058170717,-0.12176613
12619853,12619747,-0.083455086,-0.041779935,-0.04328008
12643853,12643746,-0.11659353,-0.062055405,0.027824972
12667848,12667745,-0.21866126,-0.076506026,-0.05311355
12688653,12688547,-0.12982443,-0.044892482,-0.20822084
12708678,12708573,-0.017741272,-0.0094281705,-0.122264214
12732643,12732546,0.018279199,-0.0071185757,-0.06520066
12756681,12756573,0.035045605,-0.02924501,-0.066783726
12780799,12780597,-0.021513965,0.03067512,-0.12764198
12804649,12804544,0.030178448,0.0887602,-0.12831871
12828658,12828544,0.09328424,0.003670915,-0.018952115
12848641,12848546,0.060551617,0.03286917,0.016298845
12871080,12870976,0.19667189,0.014572347,-0.007932248
12892006,12891799,0.15788847,0.016476633,-0.057668183
12912676,12912572,-0.0015334883,0.015980292,-0.16466267
12932646,12932544,-0.017012233,0.027674424,-0.18440728
12954280,12954162,-0.11356763,-0.07861267,-0.13280576
12975893,12975789,-0.06417922,-0.09063305,-0.12019457
12996654,12996544,0.016484493,-0.061932787,-0.0163241
13020639,13020544,-0.19850163,0.024375912,-0.2177553
13040801,13040598,-0.14704375,0.070388116,-0.23295146
13063075,13062961,-0.014595177,0.039657626,-0.1558371
13084639,13084544,-0.040078927,0.050687734,-0.18716268
13108650,13108544,0.08333123,0.006773907,-0.17689069
13129441,13129346,-0.02964765,0.038865384,-0.16865161
13149439,13149344,-0.06607513,0.0073984005,-0.09624972
13173446,13173344,0.07000153,-0.05096875,0.022816848
13197493,13197389,-0.059305068,-0.065160066,0.10609694
13221463,13221359,0.012261398,-0.042673994,0.015141508
13245485,13245379,0.098771974,0.037858944,-0.08926394
13265506,13265394,0.07206605,0.011665033,-0.03140767
13287844,13287745,0.14410847,-0.028119048,0.0017778451
13308653,13308545,0.1296241,0.053387843,0.045900024
13328785,13328605,0.023688663,0.052878708,-0.06668606
13349492,13349380,0.0036817351,0.016253132,-0.1222616
13372646,13372544,-0.004835367,0.0070418995,-0.09231012
13396639,13396544,-0.06396017,0.04715378,-0.0026013793
13420643,13420544,-0.15794542,3.998517e-05,0.07576476
13444652,13444545,-0.04884004,-0.032554284,0.038539905
13465445,13465348,-0.005729166,0.0031743532,-0.07503295
13485484,13485378,-0.106313415,0.016503112,-0.11422442
13507050,13506943,-0.020898825,0.019835765,-0.077752985
13528661,13528546,0.11597292,0.018837653,-0.008337678
13550328,13550216,0.13470173,-0.00399834,-0.027405031
13573443,13573344,0.08804632,0.031388123,-0.12735902
13595073,13594943,0.04098316,0.010603373,-0.14215438
13616640,13616545,0.033023123,-0.038820483,-0.0066238716
13637477,13637371,-0.03838255,0.018151853,0.13670458
13657461,13657348,-0.13240644,-0.017298337,0.22999683
13678264,13678146,-0.10898468,-0.11431227,0.15756932
13701500,13701394,0.014973854,0.0068869237,-0.023398353
13725515,13725399,0.048536032,0.010258821,-0.041484952
13750267,13750159,0.06614549,0.09365877,0.022391766
13774253,13774145,0.12963292,0.0844659,0.01451006
13794251,13794145,0.054689277,0.024597012,0.015031887
13814251,13814146,-0.0013844839,0.06962804,-0.020751046
13837446,13837344,0.043829326,0.0017989425,-0.03772544
13862285,13862178,-0.082924865,0.003746981,-0.054029092
13886277,13886161,-0.09509349,-0.08260249,-0.053977042
13910252,13910146,-0.08788523,-0.09330317,-0.08313178
13930249,13930146,-0.08776063,-0.053978458,-0.024206124
13950290,13950189,-0.019634623,-0.014309077,0.081470884
13974247,13974144,-0.0013160467,0.024582848,0.18384163
13998239,13998144,0.024166014,-0.04270985,0.1250913
14022265,14022164,0.095431075,0.020213664,-0.030617058
14046248,14046152,0.10423768,0.05140213,-0.14615126
14066245,14066143,0.06623596,0.039648548,-0.14744605
14088697,14088554,0.026352808,0.011383215,-0.04528026
14109439,14109344,-0.027145442,-0.011578926,0.071324684
14130265,14130158,-0.050341696,0.0018678678,0.107949056
14150242,14150147,-0.042415906,-0.0057661887,0.0717165
14174406,14174181,-0.011608913,0.008209264,-0.019087795
14198265,14198146,-0.023068676,-0.0032763684,-0.06382239
14223092,14222965,-0.048801966,-0.0035817558,-0.007728628
14247213,14247000,-0.03317805,-0.0188931,0.08045456
14270239,14270144,-0.026309028,-0.019555338,0.12691458
14291042,14290943,-0.01073048,-0.031666186,0.104684085
14313466,14313364,-0.004240108,-0.04293185,0.06205477
14334280,14334157,0.0005558736,-0.03744811,0.041857198
14354262,14354146,-0.002763513,-0.020421337,0.08771475
14375074,14374945,-0.00672868,-0.00056282897,0.1770784
14399052,14398945,-0.012439522,0.026288532,0.24402075
14423048,14422946,0.0691118,-0.026147224,0.16352887
14447041,14446944,0.06827676,0.015575038,0.063327916
14470239,14470144,0.19098698,0.028775133,-0.06294064
14491070,14490964,0.10938187,0.11389216,-0.18885572
14511036,14510939,0.07106935,0.04181717,-0.12278645
14535089,14534968,-0.01920948,0.017435778,-0.0227335
14558266,14558165,-0.04424047,-0.022456927,0.16350198
14582246,14582144,-0.19827862,-0.004383104,0.114999704
14603043,14602946,-0.09995318,-0.05108245,-0.05087753
14623058,14622960,-0.026075438,-0.08448879,-0.15824579
14644644,14644543,-0.035796564,-0.052546658,-0.12345318
14666264,14666145,0.000946949,0.018441435,-0.031707495
14687062,14686944,0.053796347,0.03788511,0.12906942
14707063,14706952,0.0064397766,0.023550445,0.105015345
14728660,14728545,-0.004967225,0.0014580789,0.009937627
14751041,14750944,0.08787745,0.013554455,-0.09927505
14776682,14776576,0.056172818,0.047255285,-0.10542522
14799839,14799744,0.0006038619,0.020107586,0.013684329
14823894,14823789,0.00041895697,-0.04242737,0.07959059
14847839,14847744,-0.054404385,0.0024493216,0.055498723
14867855,14867753,-0.047056776,-0.0033015837,0.037449483
14889442,14889345,0.037555955,-0.010980796,0.058268014
14911075,14910965,0.06747272,-0.00020974386,0.039802305
14931841,14931743,0.07015293,-0.04129091,-0.072502635
14951846,14951744,0.044141654,-0.005377776,-0.1366185
14973442,14973343,-0.033703204,0.037690677,-0.11307155
14995088,14994982,-0.077495046,0.018012673,0.025478225
15015839,15015744,-0.041898675,-0.0065166308,0.08713872
15035845,15035743,0.034893647,0.012805084,-0.019555708
15057442,15057346,0.0025179111,0.020168846,-0.19331084
15079841,15079744,-0.10435963,0.02116164,-0.2282149
15103852,15103745,-0.04491531,-0.054119114,-0.07527683
15123861,15123747,-0.067295626,0.054936588,0.095232494
15145489,15145385,-0.032839134,-0.044182107,0.15523723
15167848,15167745,-0.05853392,-0.035547335,0.10218397
15191852,15191747,0.010087582,-0.0072758356,0.020948667
15215841,15215744,0.07768521,-0.05353258,-0.05594302
15235841,15235743,0.14239658,0.008171588,-0.072082244
15257462,15257346,0.15640876,0.044890206,-0.0987065
15280687,15280582,0.0729249,0.0225299,-0.07029616
15303862,15303756,0.06680702,0.032170128,-0.07055329
15323866,15323759,0.03763034,0.022165868,-0.06437159
15344695,15344589,-0.07545425,-0.029556623,-0.013796153
15364683,15364570,-0.1547327,0.0054584946,0.01101972
15387055,15386946,-0.05095902,-0.026975134,0.018120946
15407848,15407744,0.013907033,-0.057094473,-0.098642066
15428698,15428588,0.017995695,0.019196589,-0.17770994
15448675,15448571,-0.07052049,0.020444404,-0.18123479
15472651,15472549,-0.049347915,0.004389775,-0.03602737
15496642,15496544,0.08819211,-0.021120124,-0.006862902
15519839,15519744,0.05447272,0.02377666,-0.10613613
15540638,15540543,-0.026461879,0.059503663,-0.2290269
15560650,15560546,-0.036927786,-0.027180426,-0.21756178
15583069,15582963,0.0059199533,-0.048328895,-0.10591829
15603861,15603743,0.008032756,-0.0011373629,-0.040177263
15624644,15624545,-0.089185275,0.042728677,-0.004324681
15644677,15644572,-0.08952972,0.0252767,-0.0002510778
15667087,15666964,0.038843375,-0.050162658,-0.13004622
15687843,15687747,0.022779522,0.061472178,-0.18814602
15708641,15708546,0.043935586,0.059267864,-0.27488744
15728642,15728545,0.06430804,0.1284289,-0.21677558
15752641,15752544,0.085462146,0.15036243,-0.084334575
15776648,15776544,0.20231703,0.09395723,0.020048203
15801505,15801393,0.1640643,0.05019902,-0.05786449
15825520,15825401,-0.007008235,-0.04677142,-0.29190162
15848837,15848627,-0.103537224,-0.10597529,-0.4048541
15869608,15869399,-0.052332338,-0.16128814,-0.36943755
15891841,15891746,-0.08788771,-0.037966944,-0.23909272
15912650,15912545,-0.18737258,-0.07069239,-0.17425007
15932683,15932578,-0.08833984,-0.055397045,-0.065502
15953441,15953346,-0.14410374,0.016474035,-0.06379595
15977458,15977362,-0.19867341,-0.0046542417,0.012361799
16000646,16000544,-0.122585796,0.036738314,0.058371514
16025618,16025434,0.11214578,0.07781781,0.052531585
16049450,16049346,0.150422,0.04997883,-0.04684
16073472,16073370,0.056332454,0.046331163,-0.1187501
16093447,16093345,0.016468942,0.043566413,-0.07979008
16115886,16115778,0.07458232,0.06049719,-0.0120273335
16136653,16136556,0.22645864,0.029166287,0.012436008
16156665,16156552,0.10502351,0.02184768,0.0748402
16177448,16177346,0.025316399,0.029775163,-0.0821182
16201499,16201390,0.14368856,-0.04980445,-0.15362044
16223853,16223744,-0.058761638,-0.10415071,-0.15146787
16249439,16249344,-0.1781643,0.009487633,-0.12780033
16273452,16273344,-0.050669488,-0.075887576,-0.103769764
16297444,16297344,-0.07597418,-0.028569544,-0.012923303
16321445,16321344,-0.094078414,0.037039254,-0.006876283
